Content,Source Name,Source URL
"Pedestrian-Enhanced Districts (PEDs) include streets where pedestrian improvements are prioritized to provide safe and enjoyable walking connections to and from major destinations within communities. PEDs are selected based on safety, public health, equity, access, social, and/or economic benefits.",Yes on HLA,https://yesonhla.com/
"Examples of pedestrian enhancements include wayfinding signage, street trees, pedestrian-scale street lighting, enhanced crosswalks, automatic pedestrian signals, reduced crossing length (e.g., corner bulbouts and crossing refuge islands), sidewalk widening, and public seating areas.",Yes on HLA,https://yesonhla.com/
"Transit Enhanced Streets see significant public transit ridership. Over 260 miles of streets will receive bus upgrades to get riders out of traffic and move people across LA more efficiently. These include upgraded station amenities and dedicated bus lanes. These streets currently serve more than 400,000 transit riders each day (about half of Metro's ridership).",Yes on HLA,https://yesonhla.com/
"The improvements seen are significant. Including off-board fare collection, safe crossing within 300 feet of a station, signal priority, and improved stations. Comprehensive streets will see Two-way Center Running or curb adjacent exclusive corridor OR Physically Protected or Separate right-of-way (e.g., Orange Line) while Moderate Plus will see peak only lanes.",Yes on HLA,https://yesonhla.com/
"The Bike Enhanced Network is a network of comfortable and safe protected bike lanes. These should be designed to accommodate all road users, from 8-80 in age. Protection may come in the form of plastic bollards, concrete curbs, or sidewalk level bike lanes.",Yes on HLA,https://yesonhla.com/
"In addition, the installation of protected bicycle lanes would likely include signalization enhancements for bicycles along with turning-movement restrictions for motor vehicles.",Yes on HLA,https://yesonhla.com/
"In the Mobility Plan 2035, the Bike Enhanced Network also includes Bike Paths such as the LA River path, however most of these are are not on streets, so only a few (like Alemeda) would be built by Measure HLA.",Yes on HLA,https://yesonhla.com/
Neighborhood Bike Streets are all ages bike facilities on neighborhood serving streets that provide connections within the Neighborhood Enhanced System. Covers approximately 50 miles.,Yes on HLA,https://yesonhla.com/
"The Neighborhood Enhanced Network is a selection of streets that provide comfortable and safe routes for localized travel of slower-moving modes such as walking, bicycling, or other slow speed motorized means of travel. This network complements the Pedestrian Enhanced Districts and the Bicycle Enhanced Network by identifying non-arterial streets important to the movement of people who walk and bike.",Yes on HLA,https://yesonhla.com/
Improvements to Neighborhood streets include: Mini-roundabouts; Stop Signs on Cross-Streets; Curb Bulbouts and High-Visibility Crosswalks; Diagonal Diverter; Bicycle Signals at Major Intersection Crossings; Crossing Islands; or Bicycle Only Left Turn Pockets.,Yes on HLA,https://yesonhla.com/
"The Vehicle Enhanced Network (VEN) identifies 79 miles of arterials, important to vehicular movement, that carry between 30,000 and 80,000 vehicles per day, traverse 10 miles or more through the City, and provide access to freeways and critical facilities.",Yes on HLA,https://yesonhla.com/
"Enhancements typically include technology upgrades and peak-hour restrictions for parking and turning movements. Comprehensive enhancements can include improvements to access management, all-day lane conversions of parking, and all-day turning movement restrictions or permanent access control.",Yes on HLA,https://yesonhla.com/
"The Bike Lane Network is a selection of streets designated for painted bike lanes. These take up less road space, but provide less safety and comfort benefits than streets on the Bicycle Enhanced Network.",Yes on HLA,https://yesonhla.com/
